states,the number of tornado
Alabama,145
Arkansas,76
Arizona,3
California,9
Colorado,21
Connecticut,1
Delaware,1
Florida,39
Georgia,42
 Hawaii ,1
Iowa,51
Idaho,2
Illinois,73
Indiana,72
Kansas,68
Kentucky,60
Louisiana,58
Massachusetts,4
Maryland,27
Maine,5
Michigan,15
Minnesota,31
Missouri,78
Mississippi,98
Montana,9
North carolina,65
North dakota,59
Nebraska,55
New hampshire,2
New jersey,2
New mexico,2
Nevada,1
New york,21
Ohio,39
Oklahoma,119
Oregon,1
Pennsylvania,30
South carolina,20
South dakota,19
Tennessee,101
Texas,103
 Utah ,1
Virginia,49
Vermont,1
Washington,2
Wisconsin,41
West virginia,1
Wyoming,7
